Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner,Series,Team,Opposition,Venue
SPD Smith,5,5,0,142,63,28.4,182,78.02,0,2,0,14,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
SE Marsh,3,3,0,140,71,46.66,171,81.87,0,2,0,11,0,15-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
TM Head,5,5,0,139,51,27.8,126,110.31,0,1,1,15,3,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
AJ Finch,3,3,1,138,70,69,151,91.39,0,2,0,21,1,08-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MR Marsh,5,5,0,137,50,27.4,162,84.56,0,1,0,16,4,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
MR Marsh,5,4,1,134,64,44.66,115,116.52,0,1,0,10,4,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
TM Head,5,5,0,130,40,26,193,67.35,0,0,0,12,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
TM Head,4,4,0,130,96,32.5,163,79.75,0,1,0,18,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
AC Agar,5,5,0,130,46,26,144,90.27,0,0,1,16,1,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
DA Warner,3,3,0,128,56,42.66,153,83.66,0,1,0,16,1,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
SE Marsh,2,2,0,128,106,64,128,100,1,0,0,9,4,09-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
GJ Bailey,5,5,0,127,70,25.4,171,74.26,0,1,0,5,3,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
BJ Haddin,8,5,2,126,43,42,80,157.5,0,0,0,16,4,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
DA Warner,3,3,0,126,98,42,104,121.15,0,1,0,13,4,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
GJ Bailey,5,5,0,125,66,25,143,87.41,0,1,0,7,4,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
DA Warner,5,5,0,124,53,24.8,128,96.87,0,1,1,10,6,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
GJ Bailey,5,4,0,122,55,30.5,155,78.7,0,1,0,8,3,11-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
AT Carey,3,3,0,122,47,40.66,184,66.3,0,0,0,7,1,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
BJ Haddin,5,5,0,121,49,24.2,167,72.45,0,0,0,5,6,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
TM Head,5,5,0,119,42,23.8,148,80.4,0,0,0,10,1,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
GJ Maxwell,3,3,0,117,76,39,126,92.85,0,1,0,11,1,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MS Wade,5,5,1,117,52,29.25,140,83.57,0,1,0,8,1,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
TD Paine,4,4,2,117,34,58.5,141,82.97,0,0,0,8,1,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
GJ Maxwell,5,5,0,115,93,23,78,147.43,0,1,1,11,6,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
GJ Bailey,5,5,0,114,74,22.8,140,81.42,0,1,0,10,3,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
MS Wade,5,5,1,114,52,28.5,116,98.27,0,1,0,12,3,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
UT Khawaja,3,3,0,114,59,38,155,73.54,0,1,0,11,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
GJ Maxwell,3,3,0,112,62,37.33,117,95.72,0,1,0,9,3,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
MR Marsh,3,3,1,110,69,55,118,93.22,0,1,1,13,2,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
AJ Finch,5,5,0,108,53,21.6,110,98.18,0,1,0,10,6,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
SPD Smith,5,5,0,102,45,20.4,148,68.91,0,0,0,4,1,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
JP Faulkner,5,4,3,100,50,100,80,125,0,1,0,11,4,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MR Marsh,3,3,0,99,67,33,116,85.34,0,1,0,6,2,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
AJ Finch,3,3,0,95,68,31.66,109,87.15,0,1,0,11,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
UT Khawaja,2,2,0,94,50,47,85,110.58,0,1,0,11,2,06-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
MS Wade,7,4,1,88,57,29.33,80,110,0,1,0,6,3,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
SPD Smith,2,2,0,88,58,44,125,70.4,0,1,0,10,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
SPD Smith,3,3,2,86,56,86,108,79.62,0,1,0,8,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
MP Stoinis,3,3,1,86,47,43,99,86.86,0,0,0,6,2,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
GJ Maxwell,3,3,1,85,48,42.5,61,139.34,0,0,0,11,1,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
DA Warner,1,1,0,84,84,84,80,105,0,1,0,7,3,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
PSP Handscomb,3,2,0,83,82,41.5,86,96.51,0,1,0,6,0,19-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
DJM Short,3,3,1,83,47,41.5,97,85.56,0,0,0,7,1,16-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
UT Khawaja,1,1,1,82,82,,77,106.49,0,1,0,8,2,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
BJ Haddin,5,4,1,80,42,26.66,60,133.33,0,0,0,9,1,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
DA Warner,3,3,1,79,40,39.5,85,92.94,0,0,0,7,1,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
MP Stoinis,3,3,0,79,63,26.33,99,79.79,0,1,0,7,4,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
SPD Smith,4,4,0,78,36,19.5,97,80.41,0,0,0,8,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
JW Hastings,4,3,0,78,51,26,78,100,0,1,0,8,4,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
JA Burns,5,5,0,77,44,15.4,114,67.54,0,0,1,9,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MR Marsh,3,3,1,77,76,38.5,45,171.11,0,1,1,2,7,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
MP Stoinis,5,5,0,76,44,15.2,91,83.51,0,0,1,4,2,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
DA Warner,5,5,0,73,35,14.6,77,94.8,0,0,0,11,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
TM Head,3,1,1,71,71,,64,110.93,0,1,0,5,2,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
JP Faulkner,3,3,1,70,33,35,99,70.7,0,0,0,5,1,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
JA Burns,1,1,0,69,69,69,70,98.57,0,1,0,7,1,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
MJ Clarke,1,1,1,68,68,,102,66.66,0,1,0,2,0,31-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
MS Wade,3,3,0,63,38,21,50,126,0,0,0,2,4,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
PJ Cummins,2,2,0,63,36,31.5,63,100,0,0,0,6,3,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
JW Hastings,3,3,1,62,48,31,75,82.66,0,0,0,7,1,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
GJ Maxwell,3,3,0,61,35,20.33,54,112.96,0,0,0,6,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
MR Marsh,2,1,0,60,60,60,68,88.23,0,1,0,7,1,26-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
DA Warner,2,2,1,60,59,60,68,88.23,0,1,0,6,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
AJ Finch,2,2,0,60,56,30,71,84.5,0,1,0,5,2,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
SPD Smith,1,1,1,59,59,,74,79.72,0,1,0,6,1,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
PSP Handscomb,3,3,0,59,43,19.66,54,109.25,0,0,0,3,1,24-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
CA Lynn,3,3,0,59,44,19.66,77,76.62,0,0,1,5,2,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
TM Head,2,2,0,58,53,29,87,66.66,0,1,0,6,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
GJ Maxwell,3,3,0,58,39,19.33,49,118.36,0,0,0,3,6,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
SR Watson,2,2,0,57,41,28.5,59,96.61,0,0,0,7,1,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
AJ Finch,3,3,0,57,41,19,95,60,0,0,0,5,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
MS Wade,3,3,0,56,37,18.66,73,76.71,0,0,0,4,2,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
UT Khawaja,3,3,0,56,30,18.66,90,62.22,0,0,0,5,0,15-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
GJ Bailey,1,1,0,55,55,55,69,79.71,0,1,0,3,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
JP Faulkner,4,4,2,54,39,27,56,96.42,0,0,1,5,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
GJ Maxwell,5,4,1,53,46,17.66,39,135.89,0,0,1,6,2,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
MG Johnson,4,4,2,51,23,25.5,26,196.15,0,0,0,4,3,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
AT Carey,2,2,0,50,44,25,45,111.11,0,0,0,6,1,21-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
DA Warner,1,1,0,48,48,48,30,160,0,0,0,5,2,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
AT Carey,3,3,0,47,24,15.66,69,68.11,0,0,0,8,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
GJ Bailey,3,3,0,46,28,15.33,95,48.42,0,0,1,3,1,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
SE Marsh,1,1,0,45,45,45,48,93.75,0,0,0,6,0,23-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
SR Watson,2,2,0,45,39,22.5,49,91.83,0,0,0,1,2,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
JP Faulkner,6,4,1,44,21,14.66,25,176,0,0,1,6,2,04-Mar-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
JP Faulkner,2,2,1,44,32,44,42,104.76,0,0,0,1,1,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
BJ Haddin,1,1,0,43,43,43,41,104.87,0,0,0,4,2,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
BJ Haddin,3,3,2,42,23,42,53,79.24,0,0,0,4,1,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MS Wade,5,3,0,42,36,14,39,107.69,0,0,1,2,1,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JP Faulkner,4,3,1,42,19,21,45,93.33,0,0,0,4,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
SPD Smith,3,3,0,41,21,13.66,64,64.06,0,0,0,4,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
JP Faulkner,2,2,2,40,34,,24,166.66,0,0,0,7,0,21-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
GJ Bailey,3,3,1,40,23,20,77,51.94,0,0,0,1,1,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
GJ Maxwell,4,4,0,38,29,9.5,36,105.55,0,0,1,5,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
SE Marsh,2,2,0,38,22,19,43,88.37,0,0,0,7,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
JP Faulkner,1,1,0,36,36,36,33,109.09,0,0,0,6,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
TD Paine,5,5,0,36,15,7.2,46,78.26,0,0,0,2,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
GJ Bailey,3,3,0,35,33,11.66,71,49.29,0,0,1,3,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
MC Henriques,3,2,0,35,18,17.5,33,106.06,0,0,0,7,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
CL White,3,3,1,35,17,17.5,53,66.03,0,0,0,3,0,19-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
DA Warner,1,1,0,34,34,34,42,80.95,0,0,0,2,1,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
JW Hastings,2,1,1,34,34,,26,130.76,0,0,0,3,2,11-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MS Wade,4,4,1,34,20,11.33,39,87.17,0,0,0,1,1,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
GJ Maxwell,1,1,0,34,34,34,39,87.17,0,0,0,3,1,28-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
AJ Tye,3,3,1,34,19,17,31,109.67,0,0,0,3,1,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
NM Coulter-Nile,1,1,0,34,34,34,31,109.67,0,0,0,5,1,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
MA Starc,5,3,2,33,29,33,52,63.46,0,0,0,0,2,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
AJ Finch,3,3,0,32,18,10.66,47,68.08,0,0,1,6,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MA Starc,2,2,1,32,29,32,26,123.07,0,0,0,2,2,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
MG Johnson,8,4,2,31,27,15.5,20,155,0,0,1,4,1,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MR Marsh,3,3,0,31,23,10.33,31,100,0,0,1,3,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
A Zampa,5,4,1,31,12,10.33,42,73.8,0,0,0,2,1,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
NM Lyon,2,1,0,30,30,30,31,96.77,0,0,0,4,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
JP Faulkner,5,4,2,30,13,15,53,56.6,0,0,0,1,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
AT Carey,1,1,0,27,27,27,24,112.5,0,0,0,4,0,19-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
BCJ Cutting,1,1,0,26,26,26,22,118.18,0,0,0,2,1,31-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
SR Watson,1,1,1,26,26,,25,104,0,0,0,1,1,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
AJ Finch,3,3,0,26,14,8.66,54,48.14,0,0,0,1,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
JP Faulkner,2,2,0,25,25,12.5,52,48.07,0,0,1,1,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
SR Watson,1,1,0,23,23,23,30,76.66,0,0,0,2,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
JP Faulkner,5,4,2,23,21,11.5,30,76.66,0,0,1,1,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
CP Tremain,4,3,2,23,23,23,37,62.16,0,0,1,2,1,02-Oct-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
AJ Tye,4,4,2,23,8,11.5,17,135.29,0,0,0,2,1,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
AJ Finch,3,3,0,22,19,7.33,43,51.16,0,0,1,2,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
PJ Cummins,3,3,1,22,12,11,46,47.82,0,0,0,1,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
A Zampa,2,2,0,22,22,11,27,81.48,0,0,1,2,0,09-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
MG Johnson,2,1,0,21,21,21,16,131.25,0,0,0,4,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
SPD Smith,1,1,0,21,21,21,38,55.26,0,0,0,1,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
JA Richardson,3,3,1,21,14,10.5,34,61.76,0,0,0,0,0,16-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
