Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner,Series,Team,Opposition,Venue
GJ Maxwell,2,2,0,20,20,10,27,74.07,0,0,1,3,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
GJ Maxwell,3,1,0,20,20,20,31,64.51,0,0,0,2,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
KW Richardson,1,1,0,19,19,19,13,146.15,0,0,0,1,2,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
MA Starc,4,4,1,19,10,6.33,18,105.55,0,0,0,0,1,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
MA Starc,3,3,0,18,12,6,19,94.73,0,0,1,3,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
JA Richardson,3,2,0,18,16,9,29,62.06,0,0,0,1,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
GJ Bailey,4,3,0,17,10,5.66,53,32.07,0,0,0,1,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MA Starc,5,1,0,17,17,17,25,68,0,0,0,1,1,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
MA Starc,5,3,1,17,12,8.5,16,106.25,0,0,1,1,1,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
MG Johnson,2,2,1,16,13,16,15,106.66,0,0,0,2,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
NM Coulter-Nile,3,3,1,16,15,8,18,88.88,0,0,1,1,0,07-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
PJ Cummins,5,3,1,16,15,8,36,44.44,0,0,1,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
CA Lynn,1,1,0,16,16,16,12,133.33,0,0,0,0,1,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
PJ Cummins,3,3,1,16,12,8,21,76.19,0,0,0,1,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
JR Hazlewood,3,3,3,16,10,,21,76.19,0,0,0,2,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
KW Richardson,3,3,1,15,14,7.5,27,55.55,0,0,0,0,1,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
TM Head,3,3,0,15,8,5,37,40.54,0,0,0,3,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
AJ Finch,1,1,0,14,14,14,7,200,0,0,0,1,1,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
JW Hastings,3,2,2,13,8,,13,100,0,0,0,2,0,28-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
JP Faulkner,2,1,0,13,13,13,13,100,0,0,0,1,0,06-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
MJ Clarke,1,1,0,12,12,12,18,66.66,0,0,0,1,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
NM Lyon,2,1,1,12,12,,5,240,0,0,0,1,1,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
KW Richardson,3,2,2,11,9,,5,220,0,0,0,1,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MJ Clarke,1,1,0,11,11,11,20,55,0,0,0,1,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
NM Coulter-Nile,3,2,1,11,9,11,18,61.11,0,0,0,1,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
MR Marsh,1,1,0,11,11,11,15,73.33,0,0,0,1,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
JR Hazlewood,7,2,2,11,11,,11,100,0,0,0,2,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
MA Starc,3,2,1,11,11,11,5,220,0,0,0,2,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
PJ Cummins,5,3,1,11,9,5.5,10,110,0,0,1,1,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
A Zampa,4,1,0,11,11,11,17,64.7,0,0,0,1,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MC Henriques,2,2,0,10,6,5,23,43.47,0,0,0,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
A Zampa,5,2,1,10,5,10,22,45.45,0,0,0,1,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
NM Coulter-Nile,5,3,0,10,8,3.33,26,38.46,0,0,1,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
PM Siddle,3,2,1,10,10,10,12,83.33,0,0,1,1,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
AC Agar,2,2,1,9,9,9,7,128.57,0,0,1,1,0,21-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
NM Lyon,4,2,2,8,8,,3,266.66,0,0,0,0,1,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
MG Neser,2,2,0,8,6,4,16,50,0,0,0,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
A Zampa,1,1,0,8,8,8,14,57.14,0,0,0,0,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
PJ Cummins,2,1,1,7,7,,30,23.33,0,0,0,1,0,28-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
PJ Cummins,1,1,1,7,7,,30,23.33,0,0,0,1,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
SM Boland,3,3,1,7,4,3.5,10,70,0,0,1,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
PSP Handscomb,2,2,0,7,7,3.5,9,77.77,0,0,1,1,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
GJ Maxwell,3,3,0,6,6,2,15,40,0,0,2,1,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
UT Khawaja,2,2,0,6,6,3,8,75,0,0,1,1,0,31-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
DJ Worrall,2,1,1,6,6,,4,150,0,0,0,1,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
PJ Hughes,1,1,0,5,5,5,14,35.71,0,0,0,0,0,12-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MA Starc,1,1,0,5,5,5,7,71.42,0,0,0,0,0,12-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
AC Agar,2,1,0,5,5,5,15,33.33,0,0,0,0,0,08-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
PJ Cummins,5,1,0,5,5,5,5,100,0,0,0,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
JR Hazlewood,3,2,2,5,5,,5,100,0,0,0,1,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
SE Marsh,1,1,0,5,5,5,8,62.5,0,0,0,1,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
JP Faulkner,4,2,2,5,4,,4,125,0,0,0,0,0,11-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
A Zampa,5,2,0,5,5,2.5,7,71.42,0,0,1,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
A Zampa,3,1,1,5,5,,4,125,0,0,0,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
MC Henriques,1,1,0,4,4,4,11,36.36,0,0,0,0,0,23-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
SPD Smith,1,1,0,4,4,4,11,36.36,0,0,0,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
MP Stoinis,1,1,0,4,4,4,5,80,0,0,0,0,0,11-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
NM Lyon,1,1,1,4,4,,6,66.66,0,0,0,0,0,24-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
MR Marsh,2,2,0,4,4,2,18,22.22,0,0,1,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
JR Hazlewood,2,2,0,4,4,2,5,80,0,0,1,1,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
SD Heazlett,1,1,0,4,4,4,11,36.36,0,0,0,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
PJ Cummins,3,1,0,4,4,4,7,57.14,0,0,0,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
NM Lyon,2,2,1,4,3,4,13,30.76,0,0,0,0,0,21-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
SA Abbott,1,1,0,3,3,3,7,42.85,0,0,0,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
MG Johnson,1,1,0,3,3,3,10,30,0,0,0,0,0,01-Feb-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MA Starc,4,3,1,3,3,1.5,8,37.5,0,0,1,0,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
B Stanlake,4,3,1,3,2,1.5,20,15,0,0,0,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
GJ Maxwell,1,1,0,2,2,2,6,33.33,0,0,0,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
MS Wade,1,1,1,2,2,,2,100,0,0,0,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
JL Pattinson,2,1,1,2,2,,8,25,0,0,0,0,0,08-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
JW Hastings,4,3,3,2,2,,3,66.66,0,0,0,0,0,15-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
SM Boland,2,1,0,2,2,2,12,16.66,0,0,0,0,0,06-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
A Zampa,2,1,0,2,2,2,11,18.18,0,0,0,0,0,06-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
A Zampa,1,1,1,2,2,,2,100,0,0,0,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
MS Wade,3,1,0,2,2,2,3,66.66,0,0,0,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
HWR Cartwright,2,2,0,2,1,1,23,8.69,0,0,0,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
XJ Doherty,2,1,1,1,1,,1,100,0,0,0,0,0,10-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
PJ Cummins,2,2,1,1,1,1,5,20,0,0,1,0,0,21-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
MA Starc,3,1,1,1,1,,5,20,0,0,0,0,0,19-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
MA Starc,5,3,3,1,1,,1,100,0,0,0,0,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
MG Johnson,1,1,0,1,1,1,7,14.28,0,0,0,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
GJ Maxwell,1,1,0,1,1,1,3,33.33,0,0,0,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
GJ Bailey,1,1,0,1,1,1,7,14.28,0,0,0,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
MA Starc,4,1,0,1,1,1,4,25,0,0,0,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
TM Head,1,1,0,1,1,1,2,50,0,0,0,0,0,13-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
SE Marsh,1,1,0,1,1,1,8,12.5,0,0,0,0,0,28-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
JM Mennie,2,2,0,1,1,0.5,4,25,0,0,1,0,0,02-Oct-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
B Stanlake,2,1,1,1,1,,6,16.66,0,0,0,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
A Zampa,1,1,0,1,1,1,5,20,0,0,0,0,0,05-Feb-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
JR Hazlewood,3,1,1,1,1,,5,20,0,0,0,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
JP Behrendorff,2,1,1,1,1,,1,100,0,0,0,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
JR Hazlewood,4,1,1,0,0,,4,0,0,0,0,0,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
CL White,1,1,0,0,0,0,2,0,0,0,1,0,0,23-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
XJ Doherty,1,1,1,0,0,,1,0,0,0,0,0,0,08-Mar-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MA Starc,8,3,1,0,0,0,3,0,0,0,2,0,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MR Marsh,1,1,0,0,0,0,2,0,0,0,1,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
MA Starc,1,1,0,0,0,0,3,0,0,0,1,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
NM Coulter-Nile,2,1,1,0,0,,0,,0,0,0,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
PJ Cummins,3,1,1,0,0,,1,0,0,0,0,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
JR Hazlewood,4,1,1,0,0,,3,0,0,0,0,0,0,15-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
MA Starc,3,1,0,0,0,0,3,0,0,0,1,0,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
A Zampa,2,1,0,0,0,0,3,0,0,0,1,0,0,05-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
KW Richardson,3,1,0,0,0,0,7,0,0,0,1,0,0,21-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
JR Hazlewood,3,1,1,0,0,,3,0,0,0,0,0,0,21-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
DJM Short,1,1,0,0,0,0,2,0,0,0,1,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
B Stanlake,1,1,0,0,0,0,2,0,0,0,1,0,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
KW Richardson,3,,,,,,,,,,,,,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
NM Lyon,2,,,,,,,,,,,,,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
XJ Doherty,1,,,,,,,,,,,,,19-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
KW Richardson,1,,,,,,,,,,,,,19-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
PJ Cummins,3,,,,,,,,,,,,,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
XJ Doherty,2,,,,,,,,,,,,,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
JR Hazlewood,2,,,,,,,,,,,,,26-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
GS Sandhu,2,,,,,,,,,,,,,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
JR Hazlewood,5,,,,,,,,,,,,,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
NM Coulter-Nile,1,,,,,,,,,,,,,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
PJ Cummins,1,,,,,,,,,,,,,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
MA Starc,1,,,,,,,,,,,,,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
SM Boland,4,,,,,,,,,,,,,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JR Hazlewood,1,,,,,,,,,,,,,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
NM Lyon,2,,,,,,,,,,,,,20-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JS Paris,2,,,,,,,,,,,,,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
KW Richardson,3,,,,,,,,,,,,,15-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
SM Boland,2,,,,,,,,,,,,,19-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
SM Boland,2,,,,,,,,,,,,,31-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
JR Hazlewood,2,,,,,,,,,,,,,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
GJ Bailey,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
SM Boland,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
JW Hastings,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
TM Head,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
MR Marsh,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
MS Wade,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
DJ Worrall,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
A Zampa,1,,,,,,,,,,,,,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
JR Hazlewood,3,,,,,,,,,,,,,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
A Zampa,2,,,,,,,,,,,,,22-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
JW Hastings,1,,,,,,,,,,,,,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
JA Richardson,1,,,,,,,,,,,,,19-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
